ID_register	ID_sp	Group	order	family	genus	binomial	body_mass	body_length	tail_length	forearm	age	sex	reproductive_stage	status	longitude	latitude	year	collector_name
9054	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	14	NA	NA	42	adult	female	NA	alive	-42.261961	-22.583797	1997	Marco Mello
9055	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	17	NA	NA	40	adult	male	NA	alive	-42.261961	-22.583797	1997	Marco Mello
9056	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	16	NA	NA	42	adult	male	NA	alive	-42.261961	-22.583797	1997	Marco Mello
9057	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	17	NA	NA	40.5	adult	female	NA	alive	-42.261961	-22.583797	1997	Marco Mello
9058	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	15	NA	NA	40	adult	male	NA	alive	-42.261961	-22.583797	1997	Marco Mello
9059	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	16	NA	NA	40	adult	female	NA	alive	-42.261961	-22.583797	1997	Marco Mello
9060	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	17	NA	NA	42.5	adult	female	NA	alive	-42.261961	-22.583797	1997	Marco Mello
9061	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	15	NA	NA	40	adult	male	scroted	alive	-42.261961	-22.583797	1997	Marco Mello
9062	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	20	NA	NA	NA	adult	female	NA	alive	-42.261961	-22.583797	1997	Marco Mello
9063	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	19	NA	NA	41	adult	male	NA	alive	-42.261961	-22.583797	1997	Marco Mello
9064	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	15	NA	NA	42	adult	female	NA	alive	-42.261961	-22.583797	1997	Marco Mello
9065	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	17	NA	NA	39	adult	male	NA	alive	-42.261961	-22.583797	1997	Marco Mello
9066	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	17	NA	NA	41	adult	female	NA	alive	-42.261961	-22.583797	1997	Marco Mello
9067	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	18	NA	NA	40	adult	female	NA	alive	-42.261961	-22.583797	1997	Marco Mello
9068	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	16	NA	NA	39	adult	male	NA	alive	-42.261961	-22.583797	1997	Marco Mello
9069	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	12	NA	NA	40	adult	female	NA	alive	-42.261961	-22.583797	1997	Marco Mello
9070	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	16	NA	NA	41	adult	male	NA	alive	-42.261961	-22.583797	1997	Marco Mello
9071	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	15	NA	NA	40	adult	female	NA	alive	-42.261961	-22.583797	1997	Marco Mello
9072	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	17	NA	NA	40	adult	male	NA	alive	-42.261961	-22.583797	1997	Marco Mello
9073	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	16	NA	NA	39	adult	female	NA	alive	-42.261961	-22.583797	1997	Marco Mello
9074	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	16	NA	NA	40	adult	male	NA	alive	-42.261961	-22.583797	1997	Marco Mello
9075	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	17	NA	NA	39	adult	female	NA	alive	-42.261961	-22.583797	1997	Marco Mello
9076	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	18	NA	NA	42	adult	female	NA	alive	-42.261961	-22.583797	1997	Marco Mello
9077	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	16	NA	NA	40	adult	male	NA	alive	-42.261961	-22.583797	1997	Marco Mello
9078	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	19	NA	NA	41	adult	female	NA	alive	-42.261961	-22.583797	1997	Marco Mello
9079	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	17	NA	NA	41	adult	male	NA	alive	-42.261961	-22.583797	1997	Marco Mello
9080	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	18	NA	NA	41	adult	male	NA	alive	-42.261961	-22.583797	1997	Marco Mello
9081	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	15	NA	NA	NA	adult	male	NA	alive	-42.261961	-22.583797	1997	Marco Mello
9082	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	14	NA	NA	40	adult	male	NA	alive	-42.261961	-22.583797	1997	Marco Mello
9083	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	14	NA	NA	39	adult	female	NA	alive	-42.261961	-22.583797	1997	Marco Mello
9084	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	16	NA	NA	41	adult	female	NA	alive	-42.261961	-22.583797	1997	Marco Mello
9085	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	14	NA	NA	39	adult	female	NA	alive	-42.261961	-22.583797	1997	Marco Mello
9086	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	16	NA	NA	41	adult	female	NA	alive	-42.261961	-22.583797	1997	Marco Mello
9087	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	18	NA	NA	42	adult	male	NA	alive	-42.261961	-22.583797	1997	Marco Mello
9088	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	18	NA	NA	40	adult	male	NA	alive	-42.261961	-22.583797	1997	Marco Mello
9089	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	19	NA	NA	40	adult	female	NA	alive	-42.261961	-22.583797	1997	Marco Mello
9090	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	16	NA	NA	40	adult	female	NA	alive	-42.261961	-22.583797	1997	Marco Mello
9091	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	15	NA	NA	40	adult	female	NA	alive	-42.261961	-22.583797	1997	Marco Mello
9092	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	14	NA	NA	41	adult	female	NA	alive	-42.261961	-22.583797	1997	Marco Mello
9093	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	16	NA	NA	40.5	adult	male	NA	alive	-42.261961	-22.583797	1997	Marco Mello
9094	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	16	NA	NA	39	adult	female	NA	alive	-42.261961	-22.583797	1997	Marco Mello
9095	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	14	NA	NA	39.5	adult	female	NA	alive	-42.261961	-22.583797	1997	Marco Mello
9096	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	16	NA	NA	38	adult	female	NA	alive	-42.261961	-22.583797	1997	Marco Mello
9097	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	18	NA	NA	40.4	adult	female	NA	alive	-42.261961	-22.583797	1997	Marco Mello
9098	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	15	NA	NA	38.05	adult	male	scroted	alive	-42.261961	-22.583797	1997	Marco Mello
9099	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	16	NA	NA	38.85	adult	male	NA	alive	-42.261961	-22.583797	1997	Marco Mello
9100	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	17	NA	NA	39.4	adult	female	NA	alive	-42.261961	-22.583797	1997	Marco Mello
9101	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	19	NA	NA	41	adult	male	NA	alive	-42.261961	-22.583797	1997	Marco Mello
9102	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	18	NA	NA	40.45	adult	male	scroted	alive	-42.261961	-22.583797	1997	Marco Mello
9103	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	27	NA	NA	41.2	adult	female	pregnant	alive	-42.261961	-22.583797	1997	Marco Mello
9104	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	21	NA	NA	40	adult	female	pregnant	alive	-42.261961	-22.583797	1997	Marco Mello
9105	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	18	NA	NA	39.45	adult	male	scroted	alive	-42.261961	-22.583797	1997	Marco Mello
9106	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	16	NA	NA	38.5	adult	male	NA	alive	-42.261961	-22.583797	1997	Marco Mello
9107	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	18	NA	NA	40.65	adult	male	NA	alive	-42.261961	-22.583797	1997	Marco Mello
9108	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	21	NA	NA	38.4	adult	female	pregnant	alive	-42.261961	-22.583797	1997	Marco Mello
9109	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	21	NA	NA	41.1	adult	female	pregnant	alive	-42.261961	-22.583797	1997	Marco Mello
9110	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	17	NA	NA	40.7	adult	male	scroted	alive	-42.261961	-22.583797	1997	Marco Mello
9111	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	18	NA	NA	37.9	adult	male	NA	alive	-42.261961	-22.583797	1997	Marco Mello
9112	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	25	NA	NA	41.45	adult	female	pregnant	alive	-42.261961	-22.583797	1997	Marco Mello
9113	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	15	NA	NA	38.25	adult	male	NA	alive	-42.261961	-22.583797	1997	Marco Mello
9114	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	18	NA	NA	40.65	adult	male	scroted	alive	-42.261961	-22.583797	1997	Marco Mello
9115	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	16	NA	NA	38.1	adult	male	scroted	alive	-42.261961	-22.583797	1997	Marco Mello
9116	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	18	NA	NA	39.3	adult	female	NA	alive	-42.261961	-22.583797	1997	Marco Mello
